"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"Montana","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.917709239425984,1
"Montana","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.917709239425984,1
"Montana","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.900836756439404,0.999756000332444
"Montana","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.900836756439404,0.999756000332444
"Montana","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.885158742083398,0.999748138904211
"Montana","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.885158742083398,0.999748138904211
"Montana","data","Past",2020-03-10,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.870561681534327,0.999697556122536
"Montana","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.870561681534327,0.999697556122536
"Montana","data","Past",2020-03-11,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.85694998527252,0.999585313534259
"Montana","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.85694998527252,0.999585313534259
"Montana","data","Past",2020-03-12,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.844480951197181,0.999362833559437
"Montana","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.844480951197181,0.999362833559437
"Montana","data","Past",2020-03-13,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.833490458747546,0.998923323667829
"Montana","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.833490458747546,0.998923323667829
"Montana","data","Past",2020-03-14,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.824567576985156,0.998036620991831
"Montana","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.824567576985156,0.998036620991831
"Montana","data","Past",2020-03-15,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.817583738181098,0.996209625472839
"Montana","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.817583738181098,0.996209625472839
"Montana","data","Past",2020-03-16,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.812040274008197,0.992404599345093
"Montana","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.812040274008197,0.992404599345093
"Montana","data","Past",2020-03-17,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.806791110222008,0.98452734768713
"Montana","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.806791110222008,0.98452734768713
"Montana","data","Past",2020-03-18,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.800715315268678,0.968679798007223
"Montana","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.800715315268678,0.968679798007223
"Montana","data","Past",2020-03-19,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.793439934274007,0.938602147302233
"Montana","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.793439934274007,0.938602147302233
"Montana","data","Past",2020-03-20,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.784846314533083,0.886733885895201
"Montana","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.784846314533083,0.886733885895201
