"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"New York","data","Past",2020-03-04,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.833734805562489,1
"New York","data","Past",2020-03-04,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.833734805562489,1
"New York","data","Past",2020-03-05,"daily_cases",NA,NA,NA,16,NA,NA,NA,NA,0.589881105354896,0.993307149075715
"New York","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.589881105354896,0.993307149075715
"New York","data","Past",2020-03-06,"daily_cases",NA,NA,NA,11,NA,NA,NA,NA,0.61595935761257,0.993307149075715
"New York","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.61595935761257,0.993307149075715
"New York","data","Past",2020-03-07,"daily_cases",NA,NA,NA,43,NA,NA,NA,NA,0.726062008731586,0.993307149075715
"New York","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.726062008731586,0.993307149075715
"New York","data","Past",2020-03-08,"daily_cases",NA,NA,NA,29,NA,NA,NA,NA,0.697067767882221,0.993307149075715
"New York","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.697067767882221,0.993307149075715
"New York","data","Past",2020-03-09,"daily_cases",NA,NA,NA,37,NA,NA,NA,NA,0.66138999434555,0.993307149075715
"New York","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.66138999434555,0.993307149075715
"New York","data","Past",2020-03-10,"daily_cases",NA,NA,NA,31,NA,NA,NA,NA,0.662917270370215,0.993307149075715
"New York","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.662917270370215,0.993307149075715
"New York","data","Past",2020-03-11,"daily_cases",NA,NA,NA,43,NA,NA,NA,NA,0.586307158559093,0.982013790037908
"New York","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.586307158559093,0.982013790037908
"New York","data","Past",2020-03-12,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.659221691920849,0.982013790037908
"New York","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.659221691920849,0.982013790037908
"New York","data","Past",2020-03-13,"daily_cases",NA,NA,NA,205,NA,NA,NA,NA,0.583760286058411,0.982013790037908
"New York","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.583760286058411,0.982013790037908
"New York","data","Past",2020-03-14,"daily_cases",NA,NA,NA,103,NA,NA,NA,NA,0.631550167506868,0.952574126822433
"New York","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.631550167506868,0.952574126822433
"New York","data","Past",2020-03-15,"daily_cases",NA,NA,NA,205,NA,NA,NA,NA,0.696467967803446,0.952574126822433
"New York","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.696467967803446,0.952574126822433
"New York","data","Past",2020-03-16,"daily_cases",NA,NA,NA,221,NA,NA,NA,NA,0.594925217290911,0.880797077977882
"New York","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA,0.594925217290911,0.880797077977882
"New York","data","Past",2020-03-17,"daily_cases",NA,NA,NA,750,NA,NA,NA,NA,0.615652757775663,0.880797077977882
"New York","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.615652757775663,0.880797077977882
"New York","data","Past",2020-03-18,"daily_cases",NA,NA,NA,682,NA,NA,NA,NA,0.634774544382338,0.880797077977882
"New York","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA,0.634774544382338,0.880797077977882
"New York","data","Past",2020-03-19,"daily_cases",NA,NA,NA,1770,NA,NA,NA,NA,0.600687491106472,0.731058578630005
"New York","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.600687491106472,0.731058578630005
