"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"North Dakota","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.724633449995944,1
"North Dakota","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.724633449995944,1
"North Dakota","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.732365081286049,0.997741760798572
"North Dakota","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.732365081286049,0.997741760798572
"North Dakota","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.811016978130695,0.997636993071467
"North Dakota","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.811016978130695,0.997636993071467
"North Dakota","data","Past",2020-03-10,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.742134110865239,0.996898389243137
"North Dakota","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.742134110865239,0.996898389243137
"North Dakota","data","Past",2020-03-11,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.784252524413869,0.99574139294809
"North Dakota","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.784252524413869,0.99574139294809
"North Dakota","data","Past",2020-03-12,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.685063946361139,0.994413600209297
"North Dakota","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.685063946361139,0.994413600209297
"North Dakota","data","Past",2020-03-13,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.75093419994379,0.989958227357063
"North Dakota","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.75093419994379,0.989958227357063
"North Dakota","data","Past",2020-03-14,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.744522606862427,0.985617734870447
"North Dakota","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.744522606862427,0.985617734870447
"North Dakota","data","Past",2020-03-15,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.746174598316794,0.975441165084672
"North Dakota","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.746174598316794,0.975441165084672
"North Dakota","data","Past",2020-03-16,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.771347261223392,0.961847797224026
"North Dakota","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.771347261223392,0.961847797224026
"North Dakota","data","Past",2020-03-17,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.732619900405096,0.938616892596508
"North Dakota","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.732619900405096,0.938616892596508
"North Dakota","data","Past",2020-03-18,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.732646505621506,0.910371696642835
"North Dakota","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.732646505621506,0.910371696642835
"North Dakota","data","Past",2020-03-19,"daily_cases",NA,NA,NA,9,NA,NA,NA,NA,0.670361420495939,0.865720233090679
"North Dakota","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.670361420495939,0.865720233090679
"North Dakota","data","Past",2020-03-20,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.809931925956327,0.80362251653523
"North Dakota","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.809931925956327,0.80362251653523
"North Dakota","data","Past",2020-03-21,"daily_cases",NA,NA,NA,8,NA,NA,NA,NA,0.730420580654301,0.722028386240764
