"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"Virginia",NA,"Past",2020-03-05,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Virginia",NA,"Past",2020-03-05,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Virginia",NA,"Past",2020-03-05,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Virginia",NA,"Past",2020-03-05,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Virginia","linear_increase_sd","Past",2020-03-05,"combined_trend",NA,NA,NA,1,NA,NA,NA,NA
"Virginia","return_normal","Past",2020-03-05,"combined_trend",NA,NA,NA,1,NA,NA,NA,NA
"Virginia","status_quo","Past",2020-03-05,"combined_trend",NA,NA,NA,1,NA,NA,NA,NA
"Virginia","linear_increase_sd","Past",2020-03-05,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Virginia","return_normal","Past",2020-03-05,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Virginia","status_quo","Past",2020-03-05,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Virginia","linear_increase_sd","Past",2020-03-05,"cumulative_cases",0,0,0,0,0,0,0,0
"Virginia","return_normal","Past",2020-03-05,"cumulative_cases",0,0,0,0,0,0,0,0
"Virginia","status_quo","Past",2020-03-05,"cumulative_cases",0,0,0,0,0,0,0,0
"Virginia","linear_increase_sd","Past",2020-03-05,"cumulative_deaths",0,0,0,0,0,0,0,0
"Virginia","return_normal","Past",2020-03-05,"cumulative_deaths",0,0,0,0,0,0,0,0
"Virginia","status_quo","Past",2020-03-05,"cumulative_deaths",0,0,0,0,0,0,0,0
"Virginia","linear_increase_sd","Past",2020-03-05,"cumulative_hosps",0,0,0,0,0,0,0,0
"Virginia","return_normal","Past",2020-03-05,"cumulative_hosps",0,0,0,0,0,0,0,0
"Virginia","status_quo","Past",2020-03-05,"cumulative_hosps",0,0,0,0,0,0,0,0
"Virginia","linear_increase_sd","Past",2020-03-05,"daily_all_infections",0,0,0,0,0,0,0,0
"Virginia","return_normal","Past",2020-03-05,"daily_all_infections",0,0,0,0,0,0,0,0
"Virginia","status_quo","Past",2020-03-05,"daily_all_infections",0,0,0,0,0,0,0,0
"Virginia","linear_increase_sd","Past",2020-03-05,"daily_cases",0,0,0,0,0,0,0,0
"Virginia","return_normal","Past",2020-03-05,"daily_cases",0,0,0,0,0,0,0,0
"Virginia","status_quo","Past",2020-03-05,"daily_cases",0,0,0,0,0,0,0,0
"Virginia","linear_increase_sd","Past",2020-03-05,"daily_deaths",0,0,0,0,0,0,0,0
"Virginia","return_normal","Past",2020-03-05,"daily_deaths",0,0,0,0,0,0,0,0
"Virginia","status_quo","Past",2020-03-05,"daily_deaths",0,0,0,0,0,0,0,0
"Virginia","linear_increase_sd","Past",2020-03-05,"daily_hosps",0,0,0,0,0,0,0,0
"Virginia","return_normal","Past",2020-03-05,"daily_hosps",0,0,0,0,0,0,0,0
"Virginia","status_quo","Past",2020-03-05,"daily_hosps",0,0,0,0,0,0,0,0
"Virginia","linear_increase_sd","Past",2020-03-05,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Virginia","return_normal","Past",2020-03-05,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Virginia","status_quo","Past",2020-03-05,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Virginia","linear_increase_sd","Past",2020-03-05,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"Virginia","return_normal","Past",2020-03-05,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"Virginia","status_quo","Past",2020-03-05,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"Virginia",NA,"Past",2020-03-06,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Virginia",NA,"Past",2020-03-06,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Virginia",NA,"Past",2020-03-06,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Virginia",NA,"Past",2020-03-06,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Virginia","linear_increase_sd","Past",2020-03-06,"combined_trend",NA,NA,NA,0.967496767002762,NA,NA,NA,NA
"Virginia","return_normal","Past",2020-03-06,"combined_trend",NA,NA,NA,0.967496767002762,NA,NA,NA,NA
"Virginia","status_quo","Past",2020-03-06,"combined_trend",NA,NA,NA,0.967496767002762,NA,NA,NA,NA
"Virginia","linear_increase_sd","Past",2020-03-06,"cumulative_all_infections",22,22,22,25,26,26,26,26
"Virginia","return_normal","Past",2020-03-06,"cumulative_all_infections",22,22,22,25,26,26,26,26
"Virginia","status_quo","Past",2020-03-06,"cumulative_all_infections",22,22,22,25,26,26,26,26
"Virginia","linear_increase_sd","Past",2020-03-06,"cumulative_cases",2,2,2,2,2,2,2,2
"Virginia","return_normal","Past",2020-03-06,"cumulative_cases",2,2,2,2,2,2,2,2
"Virginia","status_quo","Past",2020-03-06,"cumulative_cases",2,2,2,2,2,2,2,2
"Virginia","linear_increase_sd","Past",2020-03-06,"cumulative_deaths",0,0,0,0,0,0,0,0
"Virginia","return_normal","Past",2020-03-06,"cumulative_deaths",0,0,0,0,0,0,0,0
"Virginia","status_quo","Past",2020-03-06,"cumulative_deaths",0,0,0,0,0,0,0,0
"Virginia","linear_increase_sd","Past",2020-03-06,"cumulative_hosps",1,1,1,1,1,1,1,1
"Virginia","return_normal","Past",2020-03-06,"cumulative_hosps",1,1,1,1,1,1,1,1
"Virginia","status_quo","Past",2020-03-06,"cumulative_hosps",1,1,1,1,1,1,1,1
"Virginia","linear_increase_sd","Past",2020-03-06,"daily_all_infections",22,22,22,25,26,26,26,26
"Virginia","return_normal","Past",2020-03-06,"daily_all_infections",22,22,22,25,26,26,26,26
"Virginia","status_quo","Past",2020-03-06,"daily_all_infections",22,22,22,25,26,26,26,26
"Virginia","linear_increase_sd","Past",2020-03-06,"daily_cases",2,2,2,2,2,2,2,2
"Virginia","return_normal","Past",2020-03-06,"daily_cases",2,2,2,2,2,2,2,2
"Virginia","status_quo","Past",2020-03-06,"daily_cases",2,2,2,2,2,2,2,2
"Virginia","linear_increase_sd","Past",2020-03-06,"daily_deaths",0,0,0,0,0,0,0,0
"Virginia","return_normal","Past",2020-03-06,"daily_deaths",0,0,0,0,0,0,0,0
"Virginia","status_quo","Past",2020-03-06,"daily_deaths",0,0,0,0,0,0,0,0
"Virginia","linear_increase_sd","Past",2020-03-06,"daily_hosps",1,1,1,1,1,1,1,1
"Virginia","return_normal","Past",2020-03-06,"daily_hosps",1,1,1,1,1,1,1,1
"Virginia","status_quo","Past",2020-03-06,"daily_hosps",1,1,1,1,1,1,1,1
"Virginia","linear_increase_sd","Past",2020-03-06,"latent_trend",NA,NA,NA,0.967575238042098,NA,NA,NA,NA
"Virginia","return_normal","Past",2020-03-06,"latent_trend",NA,NA,NA,0.967575238042098,NA,NA,NA,NA
"Virginia","status_quo","Past",2020-03-06,"latent_trend",NA,NA,NA,0.967575238042098,NA,NA,NA,NA
"Virginia","linear_increase_sd","Past",2020-03-06,"mobility_trend",NA,NA,NA,0.99991889928943,NA,NA,NA,NA
"Virginia","return_normal","Past",2020-03-06,"mobility_trend",NA,NA,NA,0.99991889928943,NA,NA,NA,NA
"Virginia","status_quo","Past",2020-03-06,"mobility_trend",NA,NA,NA,0.99991889928943,NA,NA,NA,NA
"Virginia",NA,"Past",2020-03-07,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Virginia",NA,"Past",2020-03-07,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Virginia",NA,"Past",2020-03-07,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Virginia",NA,"Past",2020-03-07,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Virginia","linear_increase_sd","Past",2020-03-07,"combined_trend",NA,NA,NA,0.962867089390707,NA,NA,NA,NA
"Virginia","return_normal","Past",2020-03-07,"combined_trend",NA,NA,NA,0.962867089390707,NA,NA,NA,NA
"Virginia","status_quo","Past",2020-03-07,"combined_trend",NA,NA,NA,0.962867089390707,NA,NA,NA,NA
"Virginia","linear_increase_sd","Past",2020-03-07,"cumulative_all_infections",57,57,57,65,65,71,71,71
"Virginia","return_normal","Past",2020-03-07,"cumulative_all_infections",57,57,57,65,65,71,71,71
"Virginia","status_quo","Past",2020-03-07,"cumulative_all_infections",57,57,57,65,65,71,71,71
"Virginia","linear_increase_sd","Past",2020-03-07,"cumulative_cases",4,4,4,4,4,4,4,4
"Virginia","return_normal","Past",2020-03-07,"cumulative_cases",4,4,4,4,4,4,4,4
"Virginia","status_quo","Past",2020-03-07,"cumulative_cases",4,4,4,4,4,4,4,4
"Virginia","linear_increase_sd","Past",2020-03-07,"cumulative_deaths",0,0,0,1,0,1,1,1
"Virginia","return_normal","Past",2020-03-07,"cumulative_deaths",0,0,0,1,0,1,1,1
"Virginia","status_quo","Past",2020-03-07,"cumulative_deaths",0,0,0,1,0,1,1,1
"Virginia","linear_increase_sd","Past",2020-03-07,"cumulative_hosps",2,2,2,2,2,2,2,2
"Virginia","return_normal","Past",2020-03-07,"cumulative_hosps",2,2,2,2,2,2,2,2
"Virginia","status_quo","Past",2020-03-07,"cumulative_hosps",2,2,2,2,2,2,2,2
"Virginia","linear_increase_sd","Past",2020-03-07,"daily_all_infections",35,35,35,40,39,45,45,45
"Virginia","return_normal","Past",2020-03-07,"daily_all_infections",35,35,35,40,39,45,45,45
"Virginia","status_quo","Past",2020-03-07,"daily_all_infections",35,35,35,40,39,45,45,45
"Virginia","linear_increase_sd","Past",2020-03-07,"daily_cases",2,2,2,2,2,2,2,2
"Virginia","return_normal","Past",2020-03-07,"daily_cases",2,2,2,2,2,2,2,2
"Virginia","status_quo","Past",2020-03-07,"daily_cases",2,2,2,2,2,2,2,2
"Virginia","linear_increase_sd","Past",2020-03-07,"daily_deaths",0,0,0,1,0,1,1,1
"Virginia","return_normal","Past",2020-03-07,"daily_deaths",0,0,0,1,0,1,1,1
"Virginia","status_quo","Past",2020-03-07,"daily_deaths",0,0,0,1,0,1,1,1
"Virginia","linear_increase_sd","Past",2020-03-07,"daily_hosps",1,1,1,1,1,1,1,1
"Virginia","return_normal","Past",2020-03-07,"daily_hosps",1,1,1,1,1,1,1,1
"Virginia","status_quo","Past",2020-03-07,"daily_hosps",1,1,1,1,1,1,1,1
"Virginia","linear_increase_sd","Past",2020-03-07,"latent_trend",NA,NA,NA,0.971892847945087,NA,NA,NA,NA
"Virginia","return_normal","Past",2020-03-07,"latent_trend",NA,NA,NA,0.971892847945087,NA,NA,NA,NA
