"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"Florida",NA,"Past",2020-01-29,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Florida",NA,"Past",2020-01-29,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Florida",NA,"Past",2020-01-29,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Florida",NA,"Past",2020-01-29,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Florida","linear_increase_sd","Past",2020-01-29,"combined_trend",NA,NA,NA,0.998949649010533,NA,NA,NA,NA
"Florida","return_normal","Past",2020-01-29,"combined_trend",NA,NA,NA,0.998949649010533,NA,NA,NA,NA
"Florida","status_quo","Past",2020-01-29,"combined_trend",NA,NA,NA,0.998949649010533,NA,NA,NA,NA
"Florida","linear_increase_sd","Past",2020-01-29,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Florida","return_normal","Past",2020-01-29,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Florida","status_quo","Past",2020-01-29,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Florida","linear_increase_sd","Past",2020-01-29,"cumulative_cases",0,0,0,0,0,0,0,0
"Florida","return_normal","Past",2020-01-29,"cumulative_cases",0,0,0,0,0,0,0,0
"Florida","status_quo","Past",2020-01-29,"cumulative_cases",0,0,0,0,0,0,0,0
"Florida","linear_increase_sd","Past",2020-01-29,"cumulative_deaths",0,0,0,0,0,0,0,0
"Florida","return_normal","Past",2020-01-29,"cumulative_deaths",0,0,0,0,0,0,0,0
"Florida","status_quo","Past",2020-01-29,"cumulative_deaths",0,0,0,0,0,0,0,0
"Florida","linear_increase_sd","Past",2020-01-29,"cumulative_hosps",0,0,0,0,0,0,0,0
"Florida","return_normal","Past",2020-01-29,"cumulative_hosps",0,0,0,0,0,0,0,0
"Florida","status_quo","Past",2020-01-29,"cumulative_hosps",0,0,0,0,0,0,0,0
"Florida","linear_increase_sd","Past",2020-01-29,"daily_all_infections",0,0,0,0,0,0,0,0
"Florida","return_normal","Past",2020-01-29,"daily_all_infections",0,0,0,0,0,0,0,0
"Florida","status_quo","Past",2020-01-29,"daily_all_infections",0,0,0,0,0,0,0,0
"Florida","linear_increase_sd","Past",2020-01-29,"daily_cases",0,0,0,0,0,0,0,0
"Florida","return_normal","Past",2020-01-29,"daily_cases",0,0,0,0,0,0,0,0
"Florida","status_quo","Past",2020-01-29,"daily_cases",0,0,0,0,0,0,0,0
"Florida","linear_increase_sd","Past",2020-01-29,"daily_deaths",0,0,0,0,0,0,0,0
"Florida","return_normal","Past",2020-01-29,"daily_deaths",0,0,0,0,0,0,0,0
"Florida","status_quo","Past",2020-01-29,"daily_deaths",0,0,0,0,0,0,0,0
"Florida","linear_increase_sd","Past",2020-01-29,"daily_hosps",0,0,0,0,0,0,0,0
"Florida","return_normal","Past",2020-01-29,"daily_hosps",0,0,0,0,0,0,0,0
"Florida","status_quo","Past",2020-01-29,"daily_hosps",0,0,0,0,0,0,0,0
"Florida","linear_increase_sd","Past",2020-01-29,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Florida","return_normal","Past",2020-01-29,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Florida","status_quo","Past",2020-01-29,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Florida","linear_increase_sd","Past",2020-01-29,"mobility_trend",NA,NA,NA,0.998949649010533,NA,NA,NA,NA
"Florida","return_normal","Past",2020-01-29,"mobility_trend",NA,NA,NA,0.998949649010533,NA,NA,NA,NA
"Florida","status_quo","Past",2020-01-29,"mobility_trend",NA,NA,NA,0.998949649010533,NA,NA,NA,NA
"Florida",NA,"Past",2020-01-30,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Florida",NA,"Past",2020-01-30,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Florida",NA,"Past",2020-01-30,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Florida",NA,"Past",2020-01-30,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Florida","linear_increase_sd","Past",2020-01-30,"combined_trend",NA,NA,NA,0.0647135386311457,NA,NA,NA,NA
"Florida","return_normal","Past",2020-01-30,"combined_trend",NA,NA,NA,0.0647135386311457,NA,NA,NA,NA
"Florida","status_quo","Past",2020-01-30,"combined_trend",NA,NA,NA,0.0647135386311457,NA,NA,NA,NA
"Florida","linear_increase_sd","Past",2020-01-30,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Florida","return_normal","Past",2020-01-30,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Florida","status_quo","Past",2020-01-30,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Florida","linear_increase_sd","Past",2020-01-30,"cumulative_cases",0,0,0,0,0,0,0,0
"Florida","return_normal","Past",2020-01-30,"cumulative_cases",0,0,0,0,0,0,0,0
"Florida","status_quo","Past",2020-01-30,"cumulative_cases",0,0,0,0,0,0,0,0
"Florida","linear_increase_sd","Past",2020-01-30,"cumulative_deaths",0,0,0,0,0,0,0,0
"Florida","return_normal","Past",2020-01-30,"cumulative_deaths",0,0,0,0,0,0,0,0
"Florida","status_quo","Past",2020-01-30,"cumulative_deaths",0,0,0,0,0,0,0,0
"Florida","linear_increase_sd","Past",2020-01-30,"cumulative_hosps",1,1,1,1,1,1,1,1
"Florida","return_normal","Past",2020-01-30,"cumulative_hosps",1,1,1,1,1,1,1,1
"Florida","status_quo","Past",2020-01-30,"cumulative_hosps",1,1,1,1,1,1,1,1
"Florida","linear_increase_sd","Past",2020-01-30,"daily_all_infections",0,0,0,0,0,0,0,0
"Florida","return_normal","Past",2020-01-30,"daily_all_infections",0,0,0,0,0,0,0,0
"Florida","status_quo","Past",2020-01-30,"daily_all_infections",0,0,0,0,0,0,0,0
"Florida","linear_increase_sd","Past",2020-01-30,"daily_cases",0,0,0,0,0,0,0,0
"Florida","return_normal","Past",2020-01-30,"daily_cases",0,0,0,0,0,0,0,0
"Florida","status_quo","Past",2020-01-30,"daily_cases",0,0,0,0,0,0,0,0
"Florida","linear_increase_sd","Past",2020-01-30,"daily_deaths",0,0,0,0,0,0,0,0
"Florida","return_normal","Past",2020-01-30,"daily_deaths",0,0,0,0,0,0,0,0
"Florida","status_quo","Past",2020-01-30,"daily_deaths",0,0,0,0,0,0,0,0
"Florida","linear_increase_sd","Past",2020-01-30,"daily_hosps",1,1,1,1,1,1,1,1
"Florida","return_normal","Past",2020-01-30,"daily_hosps",1,1,1,1,1,1,1,1
"Florida","status_quo","Past",2020-01-30,"daily_hosps",1,1,1,1,1,1,1,1
"Florida","linear_increase_sd","Past",2020-01-30,"latent_trend",NA,NA,NA,0.06478158202993,NA,NA,NA,NA
"Florida","return_normal","Past",2020-01-30,"latent_trend",NA,NA,NA,0.06478158202993,NA,NA,NA,NA
"Florida","status_quo","Past",2020-01-30,"latent_trend",NA,NA,NA,0.06478158202993,NA,NA,NA,NA
"Florida","linear_increase_sd","Past",2020-01-30,"mobility_trend",NA,NA,NA,0.998949649010533,NA,NA,NA,NA
"Florida","return_normal","Past",2020-01-30,"mobility_trend",NA,NA,NA,0.998949649010533,NA,NA,NA,NA
