"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"Wyoming",NA,"Past",2020-03-07,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-07,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-07,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-07,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Wyoming","linear_increase_sd","Past",2020-03-07,"combined_trend",NA,NA,NA,0.957450169174236,NA,NA,NA,NA
"Wyoming","return_normal","Past",2020-03-07,"combined_trend",NA,NA,NA,0.957450169174236,NA,NA,NA,NA
"Wyoming","status_quo","Past",2020-03-07,"combined_trend",NA,NA,NA,0.957450169174236,NA,NA,NA,NA
"Wyoming","linear_increase_sd","Past",2020-03-07,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Wyoming","return_normal","Past",2020-03-07,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Wyoming","status_quo","Past",2020-03-07,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Wyoming","linear_increase_sd","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"Wyoming","return_normal","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"Wyoming","status_quo","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"Wyoming","linear_increase_sd","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Wyoming","return_normal","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Wyoming","status_quo","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Wyoming","linear_increase_sd","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"Wyoming","return_normal","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"Wyoming","status_quo","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"Wyoming","linear_increase_sd","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"Wyoming","return_normal","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"Wyoming","status_quo","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"Wyoming","linear_increase_sd","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"Wyoming","return_normal","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"Wyoming","status_quo","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"Wyoming","linear_increase_sd","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"Wyoming","return_normal","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"Wyoming","status_quo","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"Wyoming","linear_increase_sd","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"Wyoming","return_normal","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"Wyoming","status_quo","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"Wyoming","linear_increase_sd","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Wyoming","return_normal","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Wyoming","status_quo","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Wyoming","linear_increase_sd","Past",2020-03-07,"mobility_trend",NA,NA,NA,0.957450169174236,NA,NA,NA,NA
"Wyoming","return_normal","Past",2020-03-07,"mobility_trend",NA,NA,NA,0.957450169174236,NA,NA,NA,NA
"Wyoming","status_quo","Past",2020-03-07,"mobility_trend",NA,NA,NA,0.957450169174236,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-08,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-08,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-08,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-08,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Wyoming","linear_increase_sd","Past",2020-03-08,"combined_trend",NA,NA,NA,0.796216361509891,NA,NA,NA,NA
"Wyoming","return_normal","Past",2020-03-08,"combined_trend",NA,NA,NA,0.796216361509891,NA,NA,NA,NA
"Wyoming","status_quo","Past",2020-03-08,"combined_trend",NA,NA,NA,0.796216361509891,NA,NA,NA,NA
"Wyoming","linear_increase_sd","Past",2020-03-08,"cumulative_all_infections",5,5,5,17,21,22,22,22
"Wyoming","return_normal","Past",2020-03-08,"cumulative_all_infections",5,5,5,17,21,22,22,22
"Wyoming","status_quo","Past",2020-03-08,"cumulative_all_infections",5,5,5,17,21,22,22,22
"Wyoming","linear_increase_sd","Past",2020-03-08,"cumulative_cases",0,0,0,0,0,0,0,0
"Wyoming","return_normal","Past",2020-03-08,"cumulative_cases",0,0,0,0,0,0,0,0
"Wyoming","status_quo","Past",2020-03-08,"cumulative_cases",0,0,0,0,0,0,0,0
"Wyoming","linear_increase_sd","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Wyoming","return_normal","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Wyoming","status_quo","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Wyoming","linear_increase_sd","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
"Wyoming","return_normal","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
"Wyoming","status_quo","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
"Wyoming","linear_increase_sd","Past",2020-03-08,"daily_all_infections",5,5,5,17,21,22,22,22
"Wyoming","return_normal","Past",2020-03-08,"daily_all_infections",5,5,5,17,21,22,22,22
"Wyoming","status_quo","Past",2020-03-08,"daily_all_infections",5,5,5,17,21,22,22,22
"Wyoming","linear_increase_sd","Past",2020-03-08,"daily_cases",0,0,0,0,0,0,0,0
"Wyoming","return_normal","Past",2020-03-08,"daily_cases",0,0,0,0,0,0,0,0
"Wyoming","status_quo","Past",2020-03-08,"daily_cases",0,0,0,0,0,0,0,0
"Wyoming","linear_increase_sd","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"Wyoming","return_normal","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"Wyoming","status_quo","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"Wyoming","linear_increase_sd","Past",2020-03-08,"daily_hosps",1,1,1,1,1,1,1,1
"Wyoming","return_normal","Past",2020-03-08,"daily_hosps",1,1,1,1,1,1,1,1
"Wyoming","status_quo","Past",2020-03-08,"daily_hosps",1,1,1,1,1,1,1,1
"Wyoming","linear_increase_sd","Past",2020-03-08,"latent_trend",NA,NA,NA,0.837139069065748,NA,NA,NA,NA
"Wyoming","return_normal","Past",2020-03-08,"latent_trend",NA,NA,NA,0.837139069065748,NA,NA,NA,NA
"Wyoming","status_quo","Past",2020-03-08,"latent_trend",NA,NA,NA,0.837139069065748,NA,NA,NA,NA
"Wyoming","linear_increase_sd","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.951115998442736,NA,NA,NA,NA
"Wyoming","return_normal","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.951115998442736,NA,NA,NA,NA
"Wyoming","status_quo","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.951115998442736,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-09,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-09,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-09,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-09,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Wyoming","linear_increase_sd","Past",2020-03-09,"combined_trend",NA,NA,NA,0.779495952283657,NA,NA,NA,NA
"Wyoming","return_normal","Past",2020-03-09,"combined_trend",NA,NA,NA,0.779495952283657,NA,NA,NA,NA
"Wyoming","status_quo","Past",2020-03-09,"combined_trend",NA,NA,NA,0.779495952283657,NA,NA,NA,NA
"Wyoming","linear_increase_sd","Past",2020-03-09,"cumulative_all_infections",14,14,14,32,39,44,44,44
"Wyoming","return_normal","Past",2020-03-09,"cumulative_all_infections",14,14,14,32,39,44,44,44
"Wyoming","status_quo","Past",2020-03-09,"cumulative_all_infections",14,14,14,32,39,44,44,44
"Wyoming","linear_increase_sd","Past",2020-03-09,"cumulative_cases",0,0,0,1,1,1,1,1
"Wyoming","return_normal","Past",2020-03-09,"cumulative_cases",0,0,0,1,1,1,1,1
"Wyoming","status_quo","Past",2020-03-09,"cumulative_cases",0,0,0,1,1,1,1,1
"Wyoming","linear_increase_sd","Past",2020-03-09,"cumulative_deaths",0,0,0,1,0,1,1,1
"Wyoming","return_normal","Past",2020-03-09,"cumulative_deaths",0,0,0,1,0,1,1,1
"Wyoming","status_quo","Past",2020-03-09,"cumulative_deaths",0,0,0,1,0,1,1,1
"Wyoming","linear_increase_sd","Past",2020-03-09,"cumulative_hosps",2,2,2,2,2,2,2,2
"Wyoming","return_normal","Past",2020-03-09,"cumulative_hosps",2,2,2,2,2,2,2,2
"Wyoming","status_quo","Past",2020-03-09,"cumulative_hosps",2,2,2,2,2,2,2,2
"Wyoming","linear_increase_sd","Past",2020-03-09,"daily_all_infections",9,9,9,16,18,22,22,22
"Wyoming","return_normal","Past",2020-03-09,"daily_all_infections",9,9,9,16,18,22,22,22
"Wyoming","status_quo","Past",2020-03-09,"daily_all_infections",9,9,9,16,18,22,22,22
"Wyoming","linear_increase_sd","Past",2020-03-09,"daily_cases",0,0,0,1,1,1,1,1
"Wyoming","return_normal","Past",2020-03-09,"daily_cases",0,0,0,1,1,1,1,1
"Wyoming","status_quo","Past",2020-03-09,"daily_cases",0,0,0,1,1,1,1,1
"Wyoming","linear_increase_sd","Past",2020-03-09,"daily_deaths",0,0,0,1,0,1,1,1
"Wyoming","return_normal","Past",2020-03-09,"daily_deaths",0,0,0,1,0,1,1,1
"Wyoming","status_quo","Past",2020-03-09,"daily_deaths",0,0,0,1,0,1,1,1
"Wyoming","linear_increase_sd","Past",2020-03-09,"daily_hosps",1,1,1,1,1,1,1,1
"Wyoming","return_normal","Past",2020-03-09,"daily_hosps",1,1,1,1,1,1,1,1
"Wyoming","status_quo","Past",2020-03-09,"daily_hosps",1,1,1,1,1,1,1,1
"Wyoming","linear_increase_sd","Past",2020-03-09,"latent_trend",NA,NA,NA,0.825003285252626,NA,NA,NA,NA
"Wyoming","return_normal","Past",2020-03-09,"latent_trend",NA,NA,NA,0.825003285252626,NA,NA,NA,NA
"Wyoming","status_quo","Past",2020-03-09,"latent_trend",NA,NA,NA,0.825003285252626,NA,NA,NA,NA
"Wyoming","linear_increase_sd","Past",2020-03-09,"mobility_trend",NA,NA,NA,0.944839816055963,NA,NA,NA,NA
"Wyoming","return_normal","Past",2020-03-09,"mobility_trend",NA,NA,NA,0.944839816055963,NA,NA,NA,NA
"Wyoming","status_quo","Past",2020-03-09,"mobility_trend",NA,NA,NA,0.944839816055963,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-10,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-10,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-10,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-10,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Wyoming","linear_increase_sd","Past",2020-03-10,"combined_trend",NA,NA,NA,0.762386070452504,NA,NA,NA,NA
"Wyoming","return_normal","Past",2020-03-10,"combined_trend",NA,NA,NA,0.762386070452504,NA,NA,NA,NA
"Wyoming","status_quo","Past",2020-03-10,"combined_trend",NA,NA,NA,0.762386070452504,NA,NA,NA,NA
"Wyoming","linear_increase_sd","Past",2020-03-10,"cumulative_all_infections",26,26,26,48,55,64,64,64
"Wyoming","return_normal","Past",2020-03-10,"cumulative_all_infections",26,26,26,48,55,64,64,64
"Wyoming","status_quo","Past",2020-03-10,"cumulative_all_infections",26,26,26,48,55,64,64,64
"Wyoming","linear_increase_sd","Past",2020-03-10,"cumulative_cases",1,1,1,2,2,2,2,2
"Wyoming","return_normal","Past",2020-03-10,"cumulative_cases",1,1,1,2,2,2,2,2
"Wyoming","status_quo","Past",2020-03-10,"cumulative_cases",1,1,1,2,2,2,2,2
"Wyoming","linear_increase_sd","Past",2020-03-10,"cumulative_deaths",0,0,0,1,0,2,2,2
"Wyoming","return_normal","Past",2020-03-10,"cumulative_deaths",0,0,0,1,0,2,2,2
"Wyoming","status_quo","Past",2020-03-10,"cumulative_deaths",0,0,0,1,0,2,2,2
"Wyoming","linear_increase_sd","Past",2020-03-10,"cumulative_hosps",3,3,3,3,3,3,3,3
"Wyoming","return_normal","Past",2020-03-10,"cumulative_hosps",3,3,3,3,3,3,3,3
"Wyoming","status_quo","Past",2020-03-10,"cumulative_hosps",3,3,3,3,3,3,3,3
"Wyoming","linear_increase_sd","Past",2020-03-10,"daily_all_infections",12,12,12,16,16,20,20,20
"Wyoming","return_normal","Past",2020-03-10,"daily_all_infections",12,12,12,16,16,20,20,20
"Wyoming","status_quo","Past",2020-03-10,"daily_all_infections",12,12,12,16,16,20,20,20
"Wyoming","linear_increase_sd","Past",2020-03-10,"daily_cases",0,0,0,1,1,1,1,1
"Wyoming","return_normal","Past",2020-03-10,"daily_cases",0,0,0,1,1,1,1,1
"Wyoming","status_quo","Past",2020-03-10,"daily_cases",0,0,0,1,1,1,1,1
"Wyoming","linear_increase_sd","Past",2020-03-10,"daily_deaths",0,0,0,1,0,1,1,1
"Wyoming","return_normal","Past",2020-03-10,"daily_deaths",0,0,0,1,0,1,1,1
"Wyoming","status_quo","Past",2020-03-10,"daily_deaths",0,0,0,1,0,1,1,1
"Wyoming","linear_increase_sd","Past",2020-03-10,"daily_hosps",1,1,1,1,1,1,1,1
"Wyoming","return_normal","Past",2020-03-10,"daily_hosps",1,1,1,1,1,1,1,1
"Wyoming","status_quo","Past",2020-03-10,"daily_hosps",1,1,1,1,1,1,1,1
"Wyoming","linear_increase_sd","Past",2020-03-10,"latent_trend",NA,NA,NA,0.812207432759076,NA,NA,NA,NA
"Wyoming","return_normal","Past",2020-03-10,"latent_trend",NA,NA,NA,0.812207432759076,NA,NA,NA,NA
"Wyoming","status_quo","Past",2020-03-10,"latent_trend",NA,NA,NA,0.812207432759076,NA,NA,NA,NA
"Wyoming","linear_increase_sd","Past",2020-03-10,"mobility_trend",NA,NA,NA,0.938659312514133,NA,NA,NA,NA
"Wyoming","return_normal","Past",2020-03-10,"mobility_trend",NA,NA,NA,0.938659312514133,NA,NA,NA,NA
"Wyoming","status_quo","Past",2020-03-10,"mobility_trend",NA,NA,NA,0.938659312514133,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-11,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-11,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-11,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Wyoming",NA,"Past",2020-03-11,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Wyoming","linear_increase_sd","Past",2020-03-11,"combined_trend",NA,NA,NA,0.74501916688074,NA,NA,NA,NA
"Wyoming","return_normal","Past",2020-03-11,"combined_trend",NA,NA,NA,0.74501916688074,NA,NA,NA,NA
"Wyoming","status_quo","Past",2020-03-11,"combined_trend",NA,NA,NA,0.74501916688074,NA,NA,NA,NA
"Wyoming","linear_increase_sd","Past",2020-03-11,"cumulative_all_infections",40,40,40,64,70,85,85,85
"Wyoming","return_normal","Past",2020-03-11,"cumulative_all_infections",40,40,40,64,70,85,85,85
